src_port,dst_port,protocol,bytes_sent,bytes_received,packets,duration,direction,failed_connections,distinct_destinations,connection_frequency,dns_query_volume,tls_version_score,uncommon_port_flag,internal_to_internal_flag,external_to_internal_flag,beaconing_score,hour_of_day,weekend_flag,label
57742,3306,TCP,1344,113320,271,3.1483227370351146,internal_to_external,0,7,1.5581366479207657,12,0.8053894186955544,0,0,0,0.08387332965317641,17,0,normal
13266,22,TLS,10897,64824,269,3.633005232786164,internal_to_external,2,7,0.217283957838111,7,0.9354030524266121,0,1,0,0.08389965256683261,13,1,normal
52182,25,HTTPS,33592,28016,69,3.312934183443289,internal_to_external,0,6,9.371917590650655,10,0.7181494814731295,0,1,0,0.07399630109917237,15,0,normal
8852,587,TCP,18482,89962,260,19.607870825612306,internal_to_internal,0,1,2.2040699778434525,16,0.7164007565542729,0,0,0,0.06386628069719617,18,0,normal
35756,22,TLS,26752,10532,79,6.628304685287011,internal_to_external,0,6,8.128917329190772,8,0.9001332325701282,0,0,0,0.011350338554777984,10,0,normal
27809,80,HTTP,41322,168084,396,2.9525416332688508,internal_to_internal,0,1,8.19683393741359,2,0.7728453520071183,0,0,0,0.03046466225835568,15,0,normal
50224,53,HTTP,4880,2999,27,17.29780830190115,internal_to_internal,1,8,4.32669348252855,0,0.7594290554139154,0,0,0,0.03166401865004941,10,0,normal
26593,25,TCP,43354,36900,199,15.329453628974223,internal_to_internal,1,6,2.401660958486161,11,0.8439691902464479,0,0,1,0.0299135342468712,17,0,normal
35264,3306,HTTP,3914,195339,147,7.138885794146568,internal_to_external,1,4,7.4548974513068895,6,0.8037765764984653,0,0,0,0.038847984039935834,10,0,normal
32901,80,HTTP,13866,26401,85,8.631193159714764,internal_to_external,1,4,7.911627128740834,0,0.9860701741902089,1,0,0,0.0048771916017241405,12,0,normal
7106,22,TLS,30311,60146,338,18.656104396435232,internal_to_internal,0,7,0.4706394202763099,6,0.9868719486684486,0,0,0,0.09102098720572831,9,0,normal
28996,53,TCP,44824,59263,27,6.888157573098846,internal_to_internal,1,8,0.43426878992566453,4,0.7596575044911029,0,0,0,0.010267572324226582,17,0,normal
56093,25,HTTP,11919,152724,362,29.95949886232468,internal_to_external,2,3,9.041914714301333,12,0.9086610885353377,0,0,0,0.029235788915479913,12,1,normal
43162,8080,TLS,28873,5724,429,19.141689129506627,internal_to_internal,2,1,7.3346363547976186,1,0.815261558141069,0,0,0,0.06688932797583945,15,0,normal
4011,80,UDP,10884,189485,443,17.613531540881443,internal_to_internal,1,7,8.909391830431717,18,0.9403913482650771,0,1,0,0.05128696642512546,12,0,normal
5974,80,HTTPS,39305,104096,432,20.61807067267352,internal_to_internal,1,4,4.5149067549957085,7,0.7431495480364639,0,1,0,0.027750700262190023,13,0,normal
11587,80,TCP,11002,37292,433,25.847285689978886,internal_to_external,0,2,7.680612496605491,3,0.7703829629872174,0,0,0,0.0175855540972103,11,0,normal
37719,3306,TCP,47772,884,24,23.816720349808335,external_to_internal,0,5,3.8452190896060037,10,0.8418690431973799,0,0,0,0.030199708292641115,16,0,normal
62896,3306,UDP,39288,155156,298,22.590905037535517,internal_to_internal,2,1,6.2943202723982274,1,0.8848710196350358,0,0,0,0.07138486198212307,18,1,normal
1325,443,UDP,46799,13634,304,0.09945913971564167,internal_to_external,1,3,6.737237708292596,16,0.7106386554045095,0,1,0,0.006849900756609073,15,0,normal
50747,53,UDP,36822,184560,28,29.713609354860008,internal_to_external,1,9,1.8445472459362586,11,0.8224622198581711,0,0,0,0.06672190345716782,12,0,normal
45377,3306,HTTPS,3715,163193,196,2.1901172763731958,external_to_internal,2,3,0.31662690634250146,5,0.9615090997223664,0,1,0,0.05093282843072895,9,0,normal
18463,3306,HTTP,21052,52276,69,8.787823147304167,external_to_internal,1,6,6.2493506742829386,10,0.8001424379582451,0,0,0,0.06219151106126544,12,0,normal
56129,8080,HTTP,38944,47284,400,23.914300652052773,internal_to_internal,0,6,8.500065393824064,4,0.8047522336578157,0,0,0,0.028676105826216117,15,1,normal
36483,80,HTTP,31694,21808,10,0.5287223677140973,internal_to_internal,1,5,3.3178794567461094,8,0.7769127558754739,0,1,0,0.09877081172922474,16,0,normal
5089,7190,UDP,261,215,2,0.35227665161512844,internal_to_external,1,1,205.75231978047626,1,0.371002627886515,1,0,0,0.9897831229461008,16,1,anomalous
16742,80,HTTP,5735,133949,72,27.226892326589958,internal_to_external,2,5,8.05392348007542,4,0.8682891544805524,0,0,0,0.042947051462335864,9,0,normal
6989,80,HTTPS,9270,187223,128,23.07094260328642,internal_to_external,2,6,6.993604051229453,19,0.7222500696658563,0,1,0,0.0937223934080936,8,0,normal
48009,80,UDP,33279,181851,70,28.910390606492903,external_to_internal,2,1,6.492679961840571,5,0.875965828805756,0,0,0,0.0781260023326496,8,0,normal
53910,53,TLS,646,185729,168,12.265074584666712,external_to_internal,1,1,5.021173078668185,3,0.7142546552510376,0,1,0,0.03572565062309473,18,0,normal
38418,80,UDP,39459,53530,229,25.768782102473626,internal_to_external,0,3,7.375379645554267,2,0.924220358938872,0,0,0,0.05096973835690813,15,1,normal
13635,22,TLS,13964,113653,235,20.50208500906736,internal_to_internal,1,7,2.051687203891866,8,0.8238018934505464,0,0,0,0.09391416251897927,9,0,normal
63356,587,TLS,47923,91417,355,21.951813777961487,internal_to_internal,1,2,4.323635269069062,8,0.8062654697898897,0,1,0,0.008132170389782823,15,1,normal
37343,53,TLS,48130,7148,383,20.241091717477925,internal_to_external,0,4,4.946347834940425,16,0.721344691359431,0,0,0,0.06103904034935991,11,0,normal
33611,25,HTTP,30519,177375,237,9.391137564927643,internal_to_internal,2,8,5.58979471333472,4,0.7986617236806263,0,1,0,0.0698876227395522,16,1,normal
40365,8080,UDP,34836,173625,19,26.432434952335566,internal_to_external,1,4,9.080050739596054,6,0.7080191457270764,0,1,0,0.07991889997933203,17,0,normal
43018,22,TCP,7451,38476,12,20.28806143298288,internal_to_internal,1,9,8.592177774169137,6,0.8526202086209571,0,0,0,0.03890971115898861,10,0,normal
27495,53,TLS,15675,140481,238,25.870364292805874,internal_to_external,1,7,2.771015347104251,4,0.7816981243011665,0,1,0,0.001872108221228963,11,0,normal
15798,587,HTTPS,49756,109692,70,10.084349625815607,internal_to_internal,2,6,1.9496978916386831,12,0.717260550879886,0,0,0,0.0784139764446336,12,0,normal
6065,25,UDP,17774,77335,485,0.39360591875481804,external_to_internal,2,6,0.29879645098740926,13,0.965747339656108,0,0,0,0.017931838224353493,18,0,normal
48830,3306,TLS,25708,184800,484,0.9214886463798494,internal_to_external,1,6,3.6263887014449327,15,0.7185665645703897,0,0,0,0.0034982950330296747,12,0,normal
60704,443,TLS,35446,148790,454,25.124187255309515,internal_to_external,1,8,9.776419625213101,5,0.745946306415447,0,1,0,0.006431461610112488,11,1,normal
7643,3306,UDP,3973,96461,465,10.222417436536679,internal_to_external,0,1,4.766998844818121,15,0.8845325965914574,0,1,0,0.06528123575261517,12,0,normal
33388,8080,HTTP,47538,29001,286,20.338988742587308,internal_to_internal,2,7,3.830178273461259,2,0.9240908526186785,0,0,0,0.07622538210906948,12,0,normal
30048,53,DNS,21039,5382,393,19.02963790814104,internal_to_external,1,3,56.01406014678881,4458,0.12773243263052728,0,0,0,0.5667821047702031,20,1,anomalous
43118,587,TLS,31597,109791,156,5.562034515844462,internal_to_internal,0,8,9.179719872512399,6,0.81722869728892,0,1,1,0.030198033750909948,11,0,normal
22384,443,HTTPS,10776,106126,224,1.1830132246595721,external_to_internal,2,9,9.53763491678035,0,0.8825174291711562,0,0,0,0.07827365886043727,10,1,normal
44473,587,UDP,41679,180076,20,10.955863793351481,internal_to_external,2,6,2.63307628624994,17,0.8224957638032259,1,0,0,0.03335494100487013,17,0,normal
56115,3306,HTTPS,31598,78118,115,21.215975706344068,internal_to_internal,2,4,3.5736870145360644,8,0.9568748161187872,0,0,0,0.07735062938657372,18,0,normal
48747,53,HTTP,21307,81974,142,23.717752986408232,internal_to_internal,0,9,4.064442451148345,13,0.9935352361029179,0,0,0,0.02071810677228926,13,0,normal
21158,3306,TLS,29934,96498,309,14.167449742057448,internal_to_external,1,6,7.863375252576759,19,0.7611210184889214,0,1,0,0.08394003834574787,14,0,normal
27056,53,HTTPS,6156,124887,418,23.727026857975673,internal_to_external,2,1,3.514064109670556,15,0.9101728994460261,0,0,0,0.037269083370126535,18,0,normal
62950,3306,TCP,24857,102777,279,24.52439873779731,external_to_internal,2,3,7.115995624167941,14,0.8065956894188362,0,1,0,0.04588487870134694,13,0,normal
29276,443,UDP,4647,180451,53,0.2179382935474384,internal_to_external,0,8,2.345261753747023,8,0.8261209776273333,0,0,0,0.07876098581602399,8,0,normal
37041,587,TLS,32599,95706,374,10.442454280003998,internal_to_internal,1,2,4.621963771204818,0,0.969276832414532,0,1,0,0.013476268494112976,14,1,normal
60077,443,UDP,37071,107535,227,9.039589445831288,internal_to_internal,0,5,1.872484318014543,9,0.8380640067623173,0,0,0,0.06037763433636637,17,0,normal
39985,443,TCP,10029,180142,365,13.655198086826976,internal_to_internal,2,5,1.8748775083561264,7,0.887655991610748,0,1,0,0.07099155815560777,9,0,normal
5415,22,TLS,1374,193623,425,16.24581705431566,internal_to_internal,1,6,6.598934059376633,16,0.9395010647263401,0,0,0,0.09726960790341557,9,0,normal
50353,25,HTTP,15030,165088,341,13.264666756017858,internal_to_external,1,3,4.8090538412738315,2,0.7325126403704868,0,1,0,0.04064196155213337,14,0,normal
52427,587,TLS,30240,26739,37,3.8919811428947986,external_to_internal,0,6,4.312657941041857,5,0.9570589499493143,0,0,0,0.06702594552774477,17,0,normal
29592,53,HTTP,13395,52479,105,24.028076670154746,internal_to_internal,0,5,1.7888604935725865,14,0.8504649761821955,0,0,0,0.06411523245377178,8,0,normal
32698,22,HTTPS,2684,140299,492,28.50151153426276,internal_to_external,0,1,9.052054334301804,5,0.8713542009884397,0,0,0,0.06206127382342389,18,0,normal
31693,587,TLS,14664,88992,118,16.694007622245778,internal_to_internal,0,1,4.544639897572582,8,0.7295718496334953,0,0,0,0.07428739629809242,14,0,normal
24840,587,HTTP,46494,92253,332,28.795734406963025,internal_to_external,2,5,9.766021060098325,9,0.9052820586846743,0,1,0,0.0071151344734156855,14,0,normal
65378,25,HTTP,4824,170793,466,7.432093379829236,external_to_internal,2,1,3.37516501820112,7,0.8222663980025777,0,0,0,0.010830915625857597,9,0,normal
47591,53,HTTP,33925,93820,158,20.35146154777483,internal_to_external,0,3,1.6259044341396758,7,0.7896511313531176,0,0,1,0.07770243198426874,9,0,normal
34587,3306,HTTPS,18201,108435,199,7.036377386893784,internal_to_external,1,1,7.208949136608397,13,0.8611197200241019,0,0,0,0.07772484576302918,12,0,normal
60117,3306,HTTP,46820,30540,335,27.742187007374362,internal_to_internal,0,3,5.961544464035286,17,0.9884927141199443,0,0,0,0.08555175431259114,15,0,normal
33084,443,HTTPS,41473,79955,116,27.26696764826989,internal_to_external,1,7,2.451085669957648,3,0.7872478157018068,0,1,0,0.02695257172306246,13,1,normal
43647,8080,HTTPS,38550,71032,252,25.098954414796754,external_to_internal,1,4,5.0313188898821215,2,0.7890059359172952,0,0,1,0.030067156136108043,18,0,normal
31132,8080,TCP,45391,39802,181,23.337136096197938,internal_to_external,0,9,9.553582400230566,2,0.8724931804790945,0,0,0,0.08172660914049285,17,0,normal
27340,587,HTTP,32605,24829,256,21.864491026466247,internal_to_internal,0,2,3.2616872932979764,6,0.7397947776372307,0,0,0,0.07017647080450538,15,0,normal
49253,3306,HTTPS,2670,91969,179,12.18492172297509,internal_to_internal,0,2,4.050696194007007,7,0.8401187482733763,0,0,1,0.09650602360567923,16,0,normal
5698,18209,UDP,61,77,3,0.016841947501087275,internal_to_internal,196,391,511.75316605618286,1,0.30473078310376506,1,0,1,0.13216021373015072,16,1,anomalous
11550,22,TLS,38565,79610,106,27.84012604142134,internal_to_external,1,2,1.8428913099222182,18,0.7389795209910824,0,1,0,0.03610343121590739,13,0,normal
65519,3306,TCP,38092,179128,312,16.91991146411667,internal_to_external,1,7,8.185058182090613,4,0.7168061894308142,0,0,0,0.061850845400159206,9,0,normal
52423,8080,HTTP,33080,98465,81,4.689149359697289,internal_to_external,0,7,9.846038559160615,9,0.8255929782619099,0,1,0,0.009345275158900069,12,0,normal
8253,443,TCP,26533,112236,471,2.9624655031860425,internal_to_external,2,5,1.9062533601263976,5,0.8544203328298257,0,1,0,0.023321204591407685,8,0,normal
54451,80,UDP,32565,174732,185,6.476387991411808,external_to_internal,2,9,6.768594298346688,9,0.7705687558097577,0,0,0,0.050942104137051504,13,0,normal
10488,443,TCP,20004,164800,229,19.427124697643652,internal_to_internal,0,7,8.7329320730482,1,0.7413519709487798,0,1,0,0.052971204421705866,8,0,normal
5316,80,TCP,15151,49987,365,4.220470167290669,internal_to_external,2,2,0.32322437286836403,14,0.9527240808568236,0,0,0,0.06615880580477661,17,0,normal
35444,25,HTTP,25656,193565,184,12.212972729433039,internal_to_external,0,8,1.3255028087318275,17,0.7590391550425936,0,1,0,0.00721681299049084,10,1,normal
6042,80,TCP,44257,82444,391,29.319134926647575,internal_to_external,1,3,6.295079070210181,10,0.817461504955702,0,1,0,0.08890409237737845,16,0,normal
11643,53,UDP,7851,83151,287,25.113839686687097,internal_to_external,2,5,3.801406679560234,15,0.9318661919480324,0,1,0,0.07387473789257779,15,1,normal
5380,53,UDP,5576,53570,459,11.026315486030787,internal_to_internal,2,7,7.871734377711168,12,0.9278061798202365,0,1,0,0.0374705220950835,14,0,normal
36583,587,HTTP,44311,76774,411,11.774361515191133,external_to_internal,0,4,9.235643698936244,7,0.9466175624351238,0,1,0,0.059272547441612894,18,0,normal
7621,64011,UDP,142,198,12,0.17407989073505634,internal_to_external,0,1,150.18142187035124,1,0.6377162488185346,1,0,0,0.714807232808828,20,0,anomalous
45385,25,HTTP,41636,150849,436,17.75031112206772,internal_to_internal,2,9,3.0762214140212256,3,0.9077712416267061,0,0,0,0.02136957127887945,14,0,normal
41666,22,UDP,42288,29473,264,27.38046288877202,internal_to_external,1,4,1.558442589858581,10,0.837662708004888,0,0,1,0.006395314980409728,15,1,normal
1644,80,TCP,45055,65427,82,25.07168016945184,external_to_internal,1,9,3.6218970788196967,14,0.7229037233640699,0,0,0,0.040673669582337674,16,0,normal
62728,8080,UDP,42912,143911,477,7.027174520066557,internal_to_external,2,5,9.151251581116151,10,0.8314579013400007,0,0,0,0.015431752429017998,18,0,normal
46263,8080,HTTP,11810,81438,99,22.444246495967782,external_to_internal,1,1,9.875311923111717,9,0.9903726233130804,0,0,0,0.003385408022806469,14,0,normal
57019,53,UDP,435,96574,298,27.809166205725674,internal_to_external,2,1,3.769136039825757,19,0.8838787081669359,0,0,0,0.06397364015128298,10,0,normal
6301,25,HTTPS,20481,27961,211,25.02142197374047,internal_to_external,1,6,3.902344128271778,4,0.9134306041887371,0,0,1,0.05011376288248234,10,0,normal
44456,443,TCP,31981,49800,499,0.7025633438098786,internal_to_external,2,5,9.86882248250855,9,0.7784579876226454,0,1,0,0.044873187855008656,15,0,normal
28071,587,HTTP,2489,11221,204,1.853226907051223,internal_to_internal,2,8,0.5915366625706621,19,0.7185171461570306,0,0,0,0.026024366754735663,9,0,normal
9913,443,HTTPS,6465,49009,80,29.786173349338288,internal_to_external,2,6,2.6817497328500903,8,0.8236091816698152,0,1,0,0.0788690212429205,8,0,normal
52575,587,TLS,32745,58177,273,1.4384530218010785,external_to_internal,0,1,3.8338588020260485,3,0.8875385324713919,0,1,0,0.055907480373085884,8,0,normal
51521,53,HTTP,14896,117974,356,15.39100551503617,internal_to_external,0,1,3.284006827549595,1,0.7533207807191948,0,0,0,0.03175401657449275,15,0,normal
48438,8080,TCP,26436,102667,252,14.506001615205639,internal_to_external,0,1,3.875126659430324,11,0.8391903372828765,0,0,0,0.06358477128269788,8,0,normal
62352,80,UDP,7114,193567,131,19.25852326654115,internal_to_external,0,7,1.7221728093132567,13,0.7805404735275553,0,1,0,0.09061266543815413,12,0,normal
41922,53,HTTPS,2544,162508,92,8.169669551439222,internal_to_external,2,8,5.443526985910331,11,0.8056365075293611,0,0,0,0.052518640958442386,14,0,normal
6202,443,UDP,48501,8032,14,13.12852551351811,external_to_internal,0,1,5.283559841994147,18,0.9064420008765242,0,0,1,0.07773064476369834,18,0,normal
32568,25,TCP,43746,175490,424,7.201117587103731,internal_to_internal,2,2,1.8527085344223697,1,0.760162160603671,0,0,0,0.08885500809219384,9,0,normal
49195,25,TCP,32461,76327,222,19.961860111273353,internal_to_external,0,7,8.271641235551497,7,0.750648614606074,0,1,0,0.0018609114555587893,11,0,normal
38106,22,TLS,47194,120443,95,11.555000242118181,internal_to_external,0,6,9.541930333200181,13,0.8000442436147531,0,0,0,0.030720001366592177,8,0,normal
8697,443,TCP,44690,87699,378,12.252454065124622,internal_to_external,2,9,1.905748072432437,5,0.9492526618510053,0,1,0,0.033906537365191135,10,0,normal
9973,8080,TCP,23873,161018,63,9.437250312751418,internal_to_internal,1,7,1.6237057294184447,19,0.8835573304042978,0,1,0,0.01572360591121238,11,1,normal
56620,8080,TCP,46184,98613,252,6.246034562189835,internal_to_external,2,7,4.313710836927945,7,0.8818927667077967,0,1,0,0.009223449573469567,11,0,normal
11250,3306,HTTPS,37616,90714,12,17.534315510155785,internal_to_internal,0,7,6.2983267907096065,2,0.7470634027649838,0,0,1,0.07632648420101072,17,0,normal
6140,25,HTTP,47866,196222,231,22.262432339368246,internal_to_internal,1,9,4.384293909849387,19,0.7400657697188334,0,1,0,0.07075538468162722,9,0,normal
34919,53,TLS,33805,133218,475,19.991187702610727,internal_to_external,1,8,4.797703346058278,19,0.7144470702732495,0,1,0,0.009654628915716957,13,0,normal
59302,25,UDP,33876,100176,477,28.363606405047076,internal_to_internal,0,1,1.5838830589752837,0,0.9246055054103786,0,1,0,0.052811828173299075,17,0,normal
34511,8080,HTTP,40141,155696,19,21.729838923982634,external_to_internal,2,7,5.44452569586549,6,0.7226445912277695,0,0,0,0.019112662516579074,9,0,normal
19130,443,TCP,46902,189858,157,12.208450979542294,internal_to_internal,1,3,9.58129834602015,3,0.9914910703880786,0,0,0,0.073626624403778,8,0,normal
62596,22,TCP,14714,51320,290,13.416688826503462,internal_to_internal,2,7,6.509579211202881,11,0.9676805249019742,0,1,0,0.05190059951468893,8,0,normal
45496,25,TLS,48306,42201,369,15.80253462337546,internal_to_external,2,8,2.148424195794266,2,0.8884389649525516,0,1,0,0.06246264843776489,9,0,normal
54474,53,TLS,25685,17504,497,9.514748868229862,internal_to_internal,0,7,4.232495579222759,0,0.9466352383822635,0,0,0,0.0761618916732303,15,0,normal
55954,587,HTTPS,12735,142965,6,10.948529697672248,internal_to_external,2,1,9.90009093999992,19,0.9000783964797577,0,0,0,0.052327750904770626,8,0,normal
51339,80,TCP,24960,84129,157,23.538303605885915,internal_to_external,1,2,6.248036292934326,4,0.9157747306992916,0,0,0,0.08178241398486444,14,0,normal
54361,8080,TCP,40019,192630,196,21.491801880798697,internal_to_external,2,6,6.992085847736883,6,0.7291000245523357,0,0,0,0.031695884234112785,13,0,normal
34223,587,UDP,21408,175812,74,16.325652253450702,internal_to_internal,2,6,0.5658232473791207,16,0.9111609636951193,0,0,0,0.06746986401144182,13,1,normal
37257,53,HTTP,33396,86790,32,22.998786704455203,internal_to_internal,0,4,0.6075324285442394,2,0.7553696417360294,0,0,0,0.0005218730694670715,11,1,normal
6681,22,UDP,11108,102078,244,28.099845323825058,internal_to_internal,1,6,8.069639559511746,17,0.7710170481906976,0,0,0,0.022469418258455578,11,0,normal
9475,8080,HTTP,48094,52711,496,28.11464315343215,internal_to_internal,1,1,1.96724325387721,14,0.8126390789126171,0,1,0,0.02295870685929674,16,0,normal
54389,22,HTTP,24822,51685,454,8.179991662863683,internal_to_external,1,5,4.077483004343674,11,0.8297397354644296,0,0,1,0.008402671532948247,8,0,normal
59667,3306,HTTPS,2181,13262,77,13.27818499470147,internal_to_external,2,6,1.897756854498954,14,0.8846508376546651,0,0,0,0.017040719006750138,16,0,normal
20372,53,HTTPS,34916,180260,219,26.559568893502174,internal_to_external,0,1,6.072130233149975,9,0.8317584498133901,0,1,0,0.03591524905053809,8,0,normal
35565,443,TLS,15350,102339,420,28.076150371062827,internal_to_external,2,6,9.667698775720059,10,0.975578400307572,0,0,0,0.029425686018864396,13,0,normal
46441,25,TLS,17210,153904,245,3.5157361876732995,internal_to_internal,1,4,1.289286736767184,2,0.7285345115776068,0,0,1,0.010504187684633194,18,0,normal
57727,8080,HTTP,25074,56760,369,9.261912432779823,internal_to_internal,0,9,4.415662938503967,8,0.8370430004549192,0,0,0,0.07278232015258881,15,0,normal
56540,22496,TCP,118,32,3,0.041039183799935756,internal_to_internal,482,95,993.806066456355,4,0.1907937647207661,1,0,1,0.2015033380842498,9,0,anomalous
60810,53,TLS,18286,43590,312,18.728739623975965,internal_to_internal,1,3,1.2825326709018514,6,0.8054924163193615,1,1,0,0.03800853772620447,9,0,normal
16816,8080,TCP,42859,126663,357,10.05646339584062,internal_to_internal,0,6,2.9097671661000053,13,0.7465148355148223,1,1,0,0.04888370204502001,10,0,normal
16966,3306,TLS,46032,180292,224,1.0552405623797714,internal_to_external,1,9,7.135716132691415,15,0.9316395286371814,0,1,0,0.02808771251742247,13,0,normal
30558,25,TCP,10783,29442,459,7.986579291067602,internal_to_internal,1,9,7.575235032258326,4,0.7769776028827623,0,1,0,0.09790505861663178,17,1,normal
34910,443,HTTPS,34515,195916,187,14.467540073497846,internal_to_internal,2,2,7.727840342905481,8,0.8312700604670845,0,0,0,0.09986285372977591,14,0,normal
34723,587,HTTP,2535,185363,429,7.208935003381721,external_to_internal,1,4,1.1212964043831763,5,0.9180614427712742,0,1,0,0.00649094885784004,16,0,normal
12181,53,DNS,10504,7500,148,45.48317259477366,internal_to_internal,2,2,36.747527972303054,3885,0.2979798672967806,0,0,0,0.8093701466777269,14,1,anomalous
51222,53,HTTPS,16299,135523,473,9.250383882544744,internal_to_external,0,8,8.833740879613705,16,0.7987777127910283,1,1,0,0.08564661034445537,17,0,normal
47686,8080,HTTPS,37544,52940,248,27.499157928921424,internal_to_external,0,5,3.631178412528823,9,0.9519631254156037,0,1,0,0.07965029823329373,17,1,normal
57426,22,HTTPS,14568,3039,327,21.949975604313085,internal_to_internal,1,9,8.960063908506589,12,0.8742135102552899,0,0,0,0.02221515971312258,17,0,normal
22043,3306,UDP,43601,72924,272,7.569052507631408,internal_to_external,2,2,6.428759333113218,9,0.8259720349858255,0,1,0,0.05484917566381975,8,1,normal
20203,8080,TCP,11788,143098,423,26.25287732697294,internal_to_external,1,8,1.155686393916206,19,0.9500365310885405,0,0,0,0.05529896212491701,12,0,normal
